Words,
Hadith,"A traditional account of things said or done by Muhammad recorded by his followers, commonly taught as a part of Islamic theology."
halal,"A term describing something that is lawful and permitted in Islam, according to Islamic law. Often used to described food or drink which is permitted for consumption under Islamic dietary laws."
imam,"Person or religious leader who leads prayers in a mosque, a recognized authority on Islamic theology, or a person of authority within the community. For Shiite Muslims, an Imam (capitalized) denotes a descendant of Muhammad."
madrassah,The Arabic word for an educational institution for any kind of learning. Often used to refer to an Islamic religious school or a school with courses in Islamic theology and religious law.
Salat,The Arabic word for prayer. Usually refers to the ritual prayer performed five times daily at specific times; the second pillar of Islam.
