Alexa Skills Challenge,"10 Nov, 12PM EST","18 Nov, 9 PM EST"
Climathon Houston,"13 Nov, 9PM EST","18 Nov, 12 PM EST"
HackGSU,"20 Nov, 8AM EST","22 Nov, 10PM EST"
HackEPS,"28 Nov, 12PM EST","29 Nov, 1 PM EST"
HackWise 2020,"12 Dec, 10 PM EST","13 Dec, 11PM EST"
SharkHacks,"12 Dec, 10 PM EST","13 Dec, 11PM EST"
